B4,B3,B2,B8,B11,B12,NDVI,NDBI,MNDWI,NDSLI,class,sample
0.0494,0.0795,0.0937,0.2814,0.1461,0.0571,0.70133007,-0.31649122,-0.29521278,-0.49462914,1,train
0.0532,0.0866,0.0963,0.3039,0.1461,0.0571,0.70204425,-0.35066667,-0.25569403,-0.46613148,1,train
0.0479,0.0769,0.0943,0.2654,0.1292,0.0488,0.6942228,-0.34515965,-0.2537603,-0.45906267,1,train
0.0476,0.0774,0.0936,0.256,0.1393,0.0531,0.6864295,-0.29521883,-0.28564838,-0.4906367,1,train
0.0491,0.0805,0.0939,0.2803,0.1393,0.0531,0.7018822,-0.3360343,-0.26751593,-0.4787686,1,train
0.0499,0.0797,0.0947,0.2866,0.1491,0.0579,0.70341754,-0.3155841,-0.3033217,-0.49849248,1,train
0.0521,0.0864,0.097,0.2968,0.1491,0.0579,0.7013471,-0.33124015,-0.26624206,-0.48210737,1,train
0.0527,0.086,0.0965,0.2983,0.1529,0.0607,0.6997151,-0.3222518,-0.28003347,-0.48735407,1,train
0.0523,0.085,0.096,0.2901,0.1571,0.0617,0.6945094,-0.29740608,-0.29781082,-0.50047755,1,train
0.0486,0.0778,0.0916,0.2647,0.132,0.0505,0.68975425,-0.3345097,-0.25834128,-0.46179402,1,train
0.0481,0.0776,0.0933,0.2691,0.1404,0.0537,0.6967213,-0.3142857,-0.2880734,-0.4896552,1,train
0.0481,0.079,0.0929,0.2875,0.1404,0.0537,0.7133492,-0.34377187,-0.27985415,-0.4896552,1,train
0.0488,0.0778,0.0937,0.2799,0.1485,0.0562,0.7030727,-0.30672273,-0.31241715,-0.50532186,1,train
0.0485,0.0778,0.0929,0.2678,0.1485,0.0562,0.6933291,-0.28657222,-0.31241715,-0.5076142,1,train
0.0496,0.0779,0.0929,0.264,0.1526,0.0602,0.68367344,-0.26740277,-0.3240781,-0.5093966,1,train
0.0513,0.0833,0.0957,0.2748,0.1629,0.0643,0.6853726,-0.25565457,-0.32331437,-0.52100843,1,train
0.0578,0.0902,0.0976,0.3044,0.1655,0.0655,0.6808393,-0.2955948,-0.29448572,-0.4823108,1,train
0.049,0.0779,0.0936,0.2847,0.1433,0.0548,0.706323,-0.33037385,-0.29566002,-0.49037963,1,train
0.0481,0.0768,0.0928,0.2771,0.1433,0.0548,0.704182,-0.31826833,-0.30213535,-0.49738768,1,train
0.0482,0.0783,0.0931,0.2632,0.1468,0.056,0.69043034,-0.28390247,-0.3043092,-0.50564104,1,train
0.0488,0.0799,0.0943,0.2741,0.1468,0.056,0.69773924,-0.30244717,-0.29510367,-0.5010225,1,train
0.0536,0.0837,0.0967,0.2986,0.153,0.0617,0.6956275,-0.3224092,-0.29277566,-0.48112294,1,train
0.0549,0.0868,0.0969,0.3003,0.1629,0.0646,0.6908784,-0.2966321,-0.3047657,-0.49586776,1,train
0.0589,0.0912,0.0971,0.3118,0.17,0.0685,0.68222284,-0.29431298,-0.30168453,-0.4853648,1,train
0.0616,0.0962,0.0985,0.3303,0.1722,0.0705,0.6856341,-0.31462687,-0.28315946,-0.47305387,1,train
0.0493,0.077,0.0933,0.3007,0.1454,0.0562,0.71828574,-0.34812823,-0.30755398,-0.49357986,1,train
0.0488,0.077,0.093,0.2708,0.1454,0.0562,0.6946183,-0.30129743,-0.30755398,-0.49742535,1,train
0.0494,0.0788,0.0942,0.2652,0.146,0.0563,0.6859504,-0.28988326,-0.29893237,-0.4943705,1,train
0.0504,0.0807,0.0942,0.2697,0.146,0.0563,0.6850984,-0.29757035,-0.28804585,-0.48676172,1,train
0.0516,0.0822,0.0946,0.2896,0.1547,0.0617,0.6975381,-0.3036237,-0.3060363,-0.49975762,1,train
0.0528,0.0833,0.0946,0.2896,0.1614,0.0637,0.6915888,-0.2842572,-0.31916633,-0.50700283,1,train
0.0539,0.0881,0.0945,0.2923,0.1664,0.0675,0.68861926,-0.2744713,-0.30766207,-0.51066726,1,train
0.0556,0.0899,0.0955,0.298,0.1688,0.0677,0.68552035,-0.27677807,-0.30498645,-0.50445634,1,train
0.0549,0.0866,0.0952,0.3015,0.1688,0.0677,0.69191915,-0.2821603,-0.3218481,-0.50916404,1,train
0.049,0.0812,0.0948,0.3051,0.1496,0.058,0.72324204,-0.3419837,-0.29636046,-0.50654584,1,train
0.0494,0.078,0.0925,0.2662,0.1496,0.058,0.6869455,-0.28042328,-0.314587,-0.50351757,1,train
0.05,0.0796,0.0937,0.2696,0.1467,0.0568,0.6871089,-0.2952198,-0.29650906,-0.49161157,1,train
0.0502,0.0805,0.0939,0.2757,0.1467,0.0568,0.69193006,-0.30539775,-0.29137322,-0.49009648,1,train
0.0505,0.0804,0.0941,0.2703,0.1489,0.0588,0.68516207,-0.28959924,-0.2987353,-0.49348044,1,train
0.05605,0.0851,0.0956,0.31235,0.17805,0.07475,0.6957112,-0.2738581,-0.35322058,-0.5211448,1,train
0.05585,0.0848,0.09585,0.3033,0.1797,0.0738,0.6889879,-0.2559006,-0.3587902,-0.5257907,1,train
0.0557,0.08365,0.0951,0.30525,0.16565,0.06655,0.69137,-0.2964536,-0.32892096,-0.49672464,1,train
0.0541,0.08285,0.0934,0.30595,0.16565,0.06655,0.6994862,-0.29749787,-0.33319917,-0.5076223,1,train
0.05435,0.0844,0.09455,0.32055,0.1698,0.06735,0.710056,-0.30743346,-0.33595595,-0.5150569,1,train
0.0543,0.086,0.09355,0.3183,0.1636,0.06515,0.70853466,-0.321021,-0.3108974,-0.5016062,1,train
0.0536,0.083,0.09395,0.3176,0.16565,0.06655,0.7112069,-0.31443354,-0.33239493,-0.5110604,1,train
0.05185,0.0822,0.0923,0.31035,0.16565,0.06655,0.7136941,-0.30399162,-0.33669558,-0.5232184,1,train
0.052,0.082,0.09145,0.32045,0.1698,0.06735,0.7207679,-0.30729222,-0.3486894,-0.5311091,1,train
0.0556,0.0813,0.0943,0.26555,0.1642,0.0671,0.65374434,-0.23583479,-0.3376782,-0.49408552,1,train
0.0537,0.0831,0.09115,0.30725,0.1642,0.0671,0.7024519,-0.3034256,-0.32794175,-0.50711334,1,train
